1,255
2,255
3,255
4,255
5,255
6,nan
7,nan
8,255
9,nan
10,nan
11,nan
12,255
13,nan
14,255
15,nan
16,nan
17,nan
18,255
19,nan
20,255
21,255
22,255
23,nan
24,nan
25,255
26,255
27,nan
28,nan
29,nan
30,nan
31,nan
32,nan
33,255
34,nan
35,nan
36,255
37,nan
38,nan
39,nan
40,nan
41,nan
42,nan
43,nan
44,nan
45,255
46,255
47,255
48,nan
49,nan
50,nan
51,nan
52,nan
53,nan
54,nan
55,nan
56,255
57,nan
58,nan
59,nan
60,nan
61,255
62,nan
63,255
64,nan
65,nan
66,nan
67,nan
68,255
69,nan
70,nan
71,110
72,nan
73,255
74,nan
75,nan
76,nan
77,nan
78,nan
79,255
80,nan
81,255
82,255
83,255
84,255
85,255
86,nan
87,255
88,255
89,255
90,nan
91,nan
92,nan
93,nan
94,255
95,255
96,nan
97,255
98,nan
99,nan
100,nan
101,255
102,nan
103,nan
104,nan
105,255
106,nan
107,nan
108,nan
109,nan
110,nan
111,nan
112,nan
113,255
114,nan
115,nan
116,nan
117,nan
118,255
119,255
120,nan
121,nan
122,nan
123,nan
124,nan
125,255
126,nan
127,nan
128,nan
129,255
130,255
131,255
132,255
133,nan
134,nan
135,nan
136,nan
137,nan
138,nan
139,nan
140,nan
141,nan
142,nan
143,nan
144,nan
145,nan
146,nan
147,nan
148,255
149,nan
150,nan
151,nan
152,nan
153,nan
154,nan
155,nan
156,nan
157,nan
158,nan
159,nan
160,nan
161,nan
162,nan
163,nan
164,255
165,255
166,nan
167,nan
168,nan
169,nan
170,nan
171,nan
172,nan
173,nan
174,nan
175,nan
176,nan
177,nan
178,nan
179,nan
180,nan
181,nan
182,nan
183,nan
184,nan
185,nan
186,255
187,nan
188,nan
189,nan
190,18
191,47
192,nan
193,nan
194,nan
195,nan
196,nan
197,nan
198,nan
199,nan
200,nan
201,nan
202,nan
203,nan
204,nan
205,nan
206,nan
207,nan
208,nan
209,nan
210,nan
211,nan
212,nan
213,nan
214,nan
215,nan
216,nan
217,nan
218,nan
219,nan
220,255
221,nan
222,nan
223,nan
224,nan
225,nan
226,nan
227,nan
228,nan
229,nan
230,nan
231,nan
232,nan
233,nan
234,nan
235,nan
236,nan
237,nan
238,nan
239,nan
240,nan
241,nan
242,nan
243,nan
244,nan
245,nan
246,nan
247,nan
248,nan
249,nan
250,nan
251,nan
252,nan
253,nan
254,nan
255,nan
256,nan
257,nan
258,nan
259,nan
260,nan
261,nan
262,nan
263,nan
264,nan
265,nan
266,nan
267,nan
268,nan
269,nan
270,nan
271,nan
272,nan
273,nan
274,nan
275,nan
276,nan
277,nan
278,nan
279,nan
280,nan
281,nan
282,nan
283,nan
284,nan
285,nan
286,nan
287,nan
288,nan
289,nan
290,nan
291,nan
292,nan
293,255
294,255
295,255
296,255
297,nan
298,nan
299,nan
300,nan
301,nan
302,nan
303,nan
304,nan
305,nan
306,nan
307,nan
308,nan
309,nan
310,nan
311,nan
312,nan
313,nan
314,nan
315,nan
316,nan
317,nan
318,nan
319,nan
320,nan
321,255
322,nan
323,255
324,155
325,255
326,115
327,nan
328,255
329,nan
330,nan
331,nan
332,nan
333,nan
334,nan
335,nan
336,17
337,nan
338,nan
339,nan
340,38
341,nan
342,nan
343,2
344,nan
345,nan
346,24
347,nan
348,nan
349,nan
350,nan
351,nan
352,nan
353,nan
354,255
355,nan
356,255
357,nan
358,nan
359,255
360,nan
361,nan
362,nan
363,255
364,nan
365,255
366,255
367,255
368,nan
369,255
370,255
371,nan
372,255
373,nan
374,nan
375,nan
376,255
377,nan
378,nan
379,nan
380,nan
381,nan
382,nan
383,nan
384,nan
385,nan
386,nan
387,nan
388,nan
389,nan
390,nan
391,nan
392,nan
393,nan
394,36
395,nan
396,nan
397,nan
398,47
399,nan
400,151
401,nan
402,252
403,nan
404,nan
405,nan
406,nan
407,nan
408,nan
409,nan
410,nan
411,nan
412,nan
413,nan
414,nan
415,nan
416,nan
417,nan
418,nan
419,nan
420,nan
421,nan
422,255
423,nan
424,nan
425,nan
426,nan
427,nan
428,nan
429,nan
430,nan
431,nan
432,nan
433,nan
434,nan
435,nan
436,nan
437,nan
438,nan
439,nan
440,nan
441,nan
442,nan
443,nan
444,nan
445,nan
446,nan
447,nan
448,nan
449,nan
450,nan
451,nan
452,255
453,255
454,255
455,255
456,nan
457,nan
458,nan
459,nan
460,nan
461,nan
462,nan
463,nan
464,nan
465,nan
466,nan
467,255
468,255
469,255
470,255
471,nan
472,nan
473,nan
474,nan
475,nan
476,nan
477,nan
478,nan
479,nan
480,nan
481,nan
482,nan
483,nan
484,nan
485,nan
486,nan
487,nan
488,nan
489,nan
490,nan
491,nan
492,nan
493,nan
494,121
495,nan
496,255
497,nan
498,17
499,nan
500,114
501,nan
502,nan
503,nan
504,nan
505,nan
506,nan
507,nan
508,nan
509,nan
510,nan
511,nan
512,nan
513,nan
514,nan
515,nan
516,nan
517,nan
518,nan
519,nan
520,nan
521,nan
522,nan
523,nan
524,nan
525,nan
526,nan
527,nan
528,nan
529,nan
530,nan
531,nan
532,nan
533,nan
534,nan
535,nan
536,nan
537,nan
538,255
539,nan
540,255
541,nan
542,255
543,nan
544,nan
545,255
546,255
547,nan
548,255
549,nan
550,nan
551,nan
552,nan
553,nan
554,nan
555,nan
556,nan
557,nan
558,nan
559,nan
560,nan
561,nan
562,nan
563,nan
564,nan
565,nan
566,nan
567,nan
568,nan
569,nan
570,nan
571,nan
572,nan
573,nan
574,nan
575,nan
576,nan
577,nan
578,nan
579,nan
580,nan
581,nan
582,nan
583,nan
584,nan
585,nan
586,nan
587,nan
588,nan
589,255
590,nan
591,255
592,nan
593,255
594,nan
595,255
596,nan
597,nan
598,nan
599,nan
600,nan
601,nan
602,nan
603,nan
604,nan
605,nan
606,nan
607,nan
608,nan
609,nan
610,nan
611,nan
612,nan
613,nan
614,nan
615,nan
616,nan
617,nan
618,nan
619,nan
620,nan
621,255
622,nan
623,255
624,nan
625,255
626,nan
627,nan
628,nan
629,255
630,nan
631,nan
632,30
633,255
634,255
635,2
636,145
637,nan
638,nan
639,nan
640,nan
641,nan
642,nan
643,nan
644,nan
645,nan
646,nan
647,nan
648,nan
649,nan
650,255
651,255
652,255
653,255
654,255
655,nan
656,nan
657,nan
658,nan
659,nan
660,7
661,nan
662,nan
663,120
664,nan
665,nan
666,3
667,nan
668,107
669,nan
670,nan
671,nan
672,nan
673,nan
674,nan
675,255
676,nan
677,255
678,nan
679,nan
680,nan
681,nan
682,nan
683,nan
684,nan
685,nan
686,255
687,nan
688,nan
689,nan
690,nan
691,nan
692,nan
693,nan
694,nan
695,255
696,255
697,255
698,255
699,nan
700,nan
701,nan
702,nan
703,nan
704,nan
705,nan
706,nan
707,nan
708,nan
709,nan
710,nan
711,nan
712,nan
713,nan
714,nan
715,nan
716,nan
717,nan
718,nan
719,nan
720,255
721,255
722,nan
723,nan
724,255
725,nan
726,255
727,255
728,nan
729,255
730,nan
731,nan
732,225
733,255
734,255
735,255
736,255
737,255
738,nan
739,nan
740,255
741,nan
742,nan
743,255
744,nan
745,255
746,nan
747,255
748,nan
749,nan
750,nan
751,255
752,255
753,nan
754,nan
755,255
756,nan
757,nan
758,255
759,nan
760,nan
761,255
762,nan
763,nan
764,255
765,nan
766,nan
767,nan
768,nan
769,nan
770,nan
771,nan
772,nan
773,nan
774,nan
775,nan
776,nan
777,nan
778,nan
779,nan
780,nan
781,255
782,nan
783,nan
784,255
785,nan
786,nan
787,255
788,nan
789,nan
790,255
791,255
792,nan
793,255
794,255
795,255
796,nan
797,nan
798,255
799,nan
800,255
801,nan
802,255
803,255
804,255
805,255
806,nan
807,255
808,255
809,255
810,255
811,nan
812,255
813,nan
814,255
815,255
816,255
817,nan
818,255
819,nan
820,255
821,255
822,255
823,nan
824,255
825,255
826,255
827,255
828,255
829,255
830,255
831,255
832,255
833,255
834,255
835,255
836,255
837,nan
838,nan
839,255
840,nan
841,nan
842,255
843,nan
844,nan
845,255
846,nan
847,255
848,nan
849,255
850,nan
851,nan
852,255
853,nan
854,255
855,nan
856,255
857,255
858,nan
859,nan
860,255
861,nan
862,nan
863,nan
864,nan
865,255
866,255
867,nan
868,255
869,255
870,nan
871,255
872,255
873,255
874,nan
875,255
876,255
877,nan
878,nan
879,nan
880,11
881,255
882,255
883,nan
884,nan
885,nan
886,nan
887,nan
888,255
889,nan
890,nan
891,255
892,255
893,255
894,255
895,nan
896,255
897,nan
898,255
